Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.5971,0.68,0.59,0.6799 
2,0.7974,0.5751,0.7919,0.5769 
3,0.7974,0.5014,0.7919,0.5044 
4,0.7974,0.4882,0.7919,0.4911 
5,0.7974,0.4779,0.7919,0.4814 
6,0.7974,0.4693,0.7919,0.4741 
7,0.7974,0.464,0.7919,0.4694 
8,0.7974,0.4604,0.7919,0.4652 
9,0.7988,0.4569,0.7919,0.4609 
10,0.8033,0.4529,0.7959,0.456 
11,0.806,0.4483,0.7999,0.4504 
12,0.8099,0.4434,0.8034,0.4442 
13,0.8134,0.4382,0.8019,0.4384 
14,0.816,0.4336,0.802,0.4333 
15,0.8169,0.4299,0.804,0.4295 
