Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.6229,0.6624,0.6165,0.6632 
2,0.7974,0.5123,0.7919,0.5172 
3,0.7974,0.4886,0.7919,0.492 
4,0.7974,0.4783,0.7919,0.4837 
5,0.7974,0.4714,0.7919,0.4779 
6,0.7974,0.4671,0.7919,0.4734 
7,0.7985,0.463,0.7929,0.4682 
8,0.8044,0.4581,0.7969,0.4616 
9,0.8063,0.4509,0.7969,0.4526 
10,0.8099,0.4427,0.7994,0.4436 
11,0.8125,0.4358,0.801,0.4359 
12,0.8125,0.4317,0.8035,0.4305 
13,0.8127,0.4292,0.805,0.4273 
14,0.8139,0.4275,0.808,0.4257 
15,0.8149,0.4261,0.8125,0.4248 
