Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.784,0.17,0.793,0.1537 
2,0.7987,0.1488,0.794,0.1474 
3,0.8095,0.1433,0.8025,0.1414 
4,0.8185,0.1381,0.8185,0.1367 
5,0.8189,0.1362,0.825,0.1341 
6,0.8227,0.1344,0.824,0.1333 
7,0.8274,0.1316,0.824,0.1321 
8,0.8288,0.1305,0.827,0.1319 
9,0.8311,0.1283,0.827,0.1296 
10,0.8326,0.1275,0.824,0.1318 
11,0.8328,0.1265,0.8285,0.128 
12,0.8329,0.1251,0.835,0.1286 
13,0.8366,0.1238,0.822,0.1308 
14,0.8353,0.1228,0.829,0.1284 
15,0.8399,0.1214,0.833,0.1251 
