Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.1719,0.792,0.1611 
2,0.7974,0.1557,0.792,0.1539 
3,0.7974,0.1499,0.792,0.1515 
4,0.7974,0.1473,0.792,0.1485 
5,0.7974,0.1451,0.792,0.1458 
6,0.7974,0.1431,0.792,0.1435 
7,0.799,0.1412,0.7955,0.1425 
8,0.8071,0.1397,0.8025,0.1391 
9,0.8109,0.138,0.8,0.1386 
10,0.8125,0.1369,0.8025,0.1375 
11,0.8127,0.136,0.8095,0.1361 
12,0.8134,0.1347,0.8005,0.1378 
13,0.816,0.1344,0.8075,0.1345 
14,0.8169,0.1331,0.803,0.1359 
15,0.8173,0.1319,0.8105,0.1333 
