Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.2026,0.2852,0.2081,0.2844 
2,0.2026,0.2721,0.2081,0.2715 
3,0.2037,0.26,0.2091,0.2596 
4,0.5609,0.2489,0.559,0.2486 
5,0.7963,0.2388,0.7914,0.2386 
6,0.7974,0.2295,0.7919,0.2296 
7,0.7974,0.2212,0.7919,0.2214 
8,0.7974,0.2137,0.7919,0.214 
9,0.7974,0.207,0.7919,0.2074 
10,0.7974,0.2011,0.7919,0.2016 
11,0.7974,0.1958,0.7919,0.1965 
12,0.7974,0.1912,0.7919,0.192 
13,0.7974,0.1871,0.7919,0.188 
14,0.7974,0.1836,0.7919,0.1846 
15,0.7974,0.1805,0.7919,0.1816 
