Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7953,0.5207,0.7914,0.5224 
2,0.7974,0.4691,0.7919,0.4742 
3,0.7974,0.4604,0.7919,0.4634 
4,0.7974,0.4525,0.7919,0.4556 
5,0.7974,0.4428,0.7919,0.4471 
6,0.8061,0.4361,0.8039,0.4375 
7,0.8203,0.4268,0.82,0.4278 
8,0.8273,0.4139,0.826,0.416 
9,0.8384,0.3986,0.8355,0.4011 
10,0.8411,0.3891,0.836,0.3955 
11,0.8493,0.3703,0.8495,0.3724 
12,0.851,0.3665,0.8485,0.3671 
13,0.8531,0.3621,0.85,0.3621 
14,0.8534,0.3594,0.8535,0.3603 
15,0.8545,0.3579,0.853,0.3607 
