Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.4921,0.7919,0.5016 
2,0.7974,0.4654,0.7919,0.4718 
3,0.7975,0.4559,0.7919,0.4599 
4,0.8075,0.4474,0.7975,0.4494 
5,0.8113,0.4417,0.8,0.4431 
6,0.8111,0.4371,0.8005,0.4379 
7,0.8156,0.4327,0.802,0.4341 
8,0.8199,0.4281,0.8115,0.4303 
9,0.8234,0.4242,0.8155,0.4281 
10,0.825,0.4205,0.8195,0.424 
11,0.826,0.419,0.8194,0.4227 
12,0.8255,0.4175,0.8215,0.421 
13,0.8269,0.4159,0.822,0.4195 
14,0.8283,0.4143,0.823,0.4179 
15,0.8296,0.4139,0.8235,0.4174 
