Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7801,0.1654,0.7756,0.1695 
2,0.7974,0.1479,0.7919,0.1509 
3,0.8028,0.144,0.7965,0.1461 
4,0.8131,0.1407,0.8064,0.1416 
5,0.8227,0.1362,0.8164,0.1385 
6,0.8238,0.1351,0.8189,0.1352 
7,0.828,0.1322,0.8214,0.1332 
8,0.8275,0.1313,0.8224,0.1325 
9,0.828,0.1307,0.8235,0.1321 
10,0.8288,0.1301,0.825,0.1314 
11,0.8295,0.1299,0.8235,0.1317 
12,0.83,0.1289,0.824,0.1312 
13,0.83,0.1288,0.826,0.1309 
14,0.8319,0.1282,0.8235,0.1303 
15,0.8327,0.1278,0.824,0.1305 
