Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.1563,0.7919,0.1598 
2,0.7974,0.1487,0.7919,0.1525 
3,0.7974,0.1456,0.7919,0.1484 
4,0.7974,0.1427,0.7919,0.1445 
5,0.7974,0.1395,0.7919,0.1413 
6,0.8171,0.1375,0.8105,0.14 
7,0.8237,0.1355,0.8174,0.1379 
8,0.8264,0.134,0.819,0.1358 
9,0.8271,0.1329,0.8209,0.1346 
10,0.8274,0.1321,0.822,0.1337 
11,0.829,0.1313,0.822,0.1331 
12,0.8295,0.1308,0.8215,0.1328 
13,0.8299,0.1303,0.823,0.1327 
14,0.8318,0.1297,0.8235,0.1324 
15,0.8307,0.1295,0.822,0.1323 
