Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7971,0.1626,0.792,0.1549 
2,0.7974,0.1511,0.792,0.1531 
3,0.7974,0.149,0.792,0.1509 
4,0.7977,0.1467,0.7935,0.148 
5,0.802,0.144,0.7985,0.1442 
6,0.8079,0.1402,0.803,0.1402 
7,0.8171,0.1368,0.8095,0.1376 
8,0.8216,0.1347,0.8105,0.1355 
9,0.8253,0.1328,0.813,0.136 
10,0.8286,0.1315,0.814,0.1342 
11,0.828,0.1302,0.822,0.1317 
12,0.8321,0.1293,0.8185,0.1341 
13,0.8303,0.1291,0.824,0.1324 
14,0.83,0.1287,0.8115,0.1385 
15,0.8322,0.1281,0.8245,0.1307 
