Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.5361,0.792,0.504 
2,0.7974,0.4938,0.792,0.4955 
3,0.7974,0.4862,0.792,0.4889 
4,0.7974,0.48,0.792,0.4841 
5,0.7974,0.4752,0.792,0.4802 
6,0.7974,0.4717,0.792,0.4773 
7,0.7974,0.469,0.792,0.4748 
8,0.7974,0.467,0.792,0.4728 
9,0.7974,0.4653,0.792,0.4716 
10,0.7974,0.4639,0.792,0.4693 
11,0.7974,0.4625,0.792,0.4678 
12,0.7974,0.4611,0.792,0.4669 
13,0.7974,0.4598,0.792,0.4647 
14,0.7974,0.4585,0.792,0.4631 
15,0.7974,0.4569,0.792,0.4616 
