Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.215,0.7919,0.2158 
2,0.7974,0.1947,0.7919,0.196 
3,0.7974,0.1786,0.7919,0.1804 
4,0.7974,0.167,0.7919,0.1693 
5,0.7974,0.1612,0.7919,0.1638 
6,0.7974,0.1591,0.7919,0.1617 
7,0.7974,0.1568,0.7919,0.1594 
8,0.7974,0.1541,0.7919,0.1569 
9,0.7974,0.1517,0.7919,0.1548 
10,0.7974,0.1503,0.7919,0.1536 
11,0.7974,0.1492,0.7919,0.1526 
12,0.7974,0.1483,0.7919,0.1516 
13,0.7974,0.1476,0.7919,0.1507 
14,0.7973,0.1468,0.7919,0.1499 
15,0.7981,0.1461,0.7924,0.149 
