Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.4899,0.2495,0.5035,0.2494 
2,0.7974,0.1947,0.7919,0.1958 
3,0.7974,0.1625,0.7919,0.1649 
4,0.7974,0.1606,0.7919,0.1629 
5,0.7974,0.1591,0.7919,0.1618 
6,0.7974,0.1578,0.7919,0.1607 
7,0.7974,0.1566,0.7919,0.1596 
8,0.7974,0.1553,0.7919,0.1584 
9,0.7974,0.154,0.7919,0.1572 
10,0.7974,0.1528,0.7919,0.156 
11,0.7974,0.1517,0.7919,0.1549 
12,0.7974,0.1506,0.7919,0.1538 
13,0.7974,0.1497,0.7919,0.1527 
14,0.7974,0.1487,0.7919,0.1517 
15,0.7974,0.1478,0.7919,0.1506 
