Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.4684,0.7919,0.4691 
2,0.7974,0.4481,0.7919,0.4492 
3,0.7974,0.4024,0.7919,0.4046 
4,0.7974,0.2791,0.7919,0.2835 
5,0.7974,0.2114,0.7919,0.2165 
6,0.7974,0.2049,0.7919,0.2101 
7,0.7974,0.2038,0.7919,0.2091 
8,0.7974,0.2033,0.7919,0.2087 
9,0.7974,0.203,0.7919,0.2084 
10,0.7974,0.2028,0.7919,0.2082 
11,0.7974,0.2027,0.7919,0.2082 
12,0.7974,0.2027,0.7919,0.2081 
13,0.7974,0.2027,0.7919,0.2081 
14,0.7974,0.2027,0.7919,0.2081 
15,0.7974,0.2027,0.7919,0.2081 
