Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.4629,0.7919,0.4638 
2,0.7974,0.3359,0.7919,0.3395 
3,0.7974,0.2109,0.7919,0.216 
4,0.7974,0.2035,0.7919,0.2088 
5,0.7974,0.203,0.7919,0.2084 
6,0.7974,0.2029,0.7919,0.2083 
7,0.7974,0.2028,0.7919,0.2082 
8,0.7974,0.2027,0.7919,0.2082 
9,0.7974,0.2027,0.7919,0.2081 
10,0.7974,0.2027,0.7919,0.2081 
11,0.7974,0.2027,0.7919,0.2081 
12,0.7974,0.2027,0.7919,0.2081 
13,0.7974,0.2026,0.7919,0.2081 
14,0.7974,0.2026,0.7919,0.2081 
15,0.7974,0.2026,0.7919,0.2081 
