Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.4824,0.7919,0.4827 
2,0.7974,0.471,0.7919,0.4715 
3,0.7974,0.4597,0.7919,0.4604 
4,0.7974,0.4486,0.7919,0.4495 
5,0.7974,0.4376,0.7919,0.4387 
6,0.7974,0.4267,0.7919,0.428 
7,0.7974,0.4158,0.7919,0.4173 
8,0.7974,0.405,0.7919,0.4067 
9,0.7974,0.3943,0.7919,0.3961 
10,0.7974,0.3836,0.7919,0.3856 
11,0.7974,0.373,0.7919,0.3752 
12,0.7974,0.3625,0.7919,0.3649 
13,0.7974,0.3521,0.7919,0.3547 
14,0.7974,0.342,0.7919,0.3447 
15,0.7974,0.332,0.7919,0.3349 
