Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.6359,0.6847,0.624,0.6857 
2,0.7974,0.6506,0.7919,0.6522 
3,0.7974,0.6237,0.7919,0.6258 
4,0.7974,0.602,0.7919,0.6046 
5,0.7974,0.5844,0.7919,0.5874 
6,0.7974,0.57,0.7919,0.5734 
7,0.7974,0.5581,0.7919,0.5618 
8,0.7974,0.5483,0.7919,0.5523 
9,0.7974,0.5402,0.7919,0.5445 
10,0.7974,0.5335,0.7919,0.5381 
11,0.7974,0.5279,0.7919,0.5329 
12,0.7974,0.5234,0.7919,0.5286 
13,0.7974,0.5197,0.7919,0.525 
14,0.7974,0.5166,0.7919,0.5222 
15,0.7974,0.5141,0.7919,0.5199 
