Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7769,0.5214,0.792,0.4795 
2,0.7977,0.4669,0.792,0.4687 
3,0.8019,0.4579,0.7865,0.4602 
4,0.8044,0.4499,0.7965,0.4486 
5,0.8074,0.4419,0.797,0.4423 
6,0.8084,0.4363,0.802,0.4456 
7,0.812,0.4322,0.806,0.4309 
8,0.8131,0.4297,0.8085,0.4275 
9,0.8121,0.4263,0.8065,0.4262 
10,0.8164,0.4229,0.812,0.4226 
11,0.8211,0.4187,0.814,0.4293 
12,0.826,0.4147,0.8155,0.4402 
13,0.826,0.4123,0.822,0.4168 
14,0.8284,0.409,0.8225,0.4093 
15,0.8299,0.4063,0.8275,0.4094 
