Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7976,0.4956,0.7915,0.4778 
2,0.7972,0.4721,0.792,0.4685 
3,0.7974,0.464,0.792,0.4632 
4,0.7985,0.4571,0.792,0.4578 
5,0.8014,0.4497,0.802,0.4462 
6,0.8077,0.4431,0.8025,0.44 
7,0.8112,0.4367,0.8085,0.434 
8,0.8134,0.4315,0.8085,0.429 
9,0.8163,0.4268,0.8165,0.4247 
10,0.8207,0.4238,0.82,0.4215 
11,0.8202,0.4219,0.8185,0.4195 
12,0.8254,0.4199,0.8195,0.4217 
13,0.8234,0.4188,0.815,0.4277 
14,0.8241,0.4166,0.823,0.4147 
15,0.825,0.4168,0.819,0.4215 
